,name,gender,email,kitnumber,age,type,Mt,Y,autosomaltotalcm,autosomallargest,gen,xdnatotalcm,xdnalargest,source,overlap
0,Priscella Pollett,Agender,ppollett0@foxnews.com,T206939,1983,1,T2b,R-M167,4,3Q,49,2,7,Migration - V4 - M,N/A
1,Ana Onge,Male,aonge1@fda.gov,T233593,373,1,H,T2g,9,6Q,85,1,4,Custom Superkit,N/A
2,Butch Rawls,Male,brawls2@slideshare.net,Q188352,203,2,H6a1,R1b,0,4Q,99,9,7,Custom Superkit,N/A
3,Ambros Fairrie,Male,afairrie3@reuters.com,U221322,818,1,,R2f,0,5Q,27,9,5,Migration - V4 - M,N/A
4,Gaylene Titcomb,Female,gtitcomb4@dyndns.org,Y252901,1577,1,H1e1a, ,3,5Q,95,9,2,Ancestry,N/A
5,Cleveland Lindegard,Female,clindegard5@ezinearticles.com,E106443,1643,1,H,I M253,5,9Q,65,9,7,Migration - F2 - T,N/A
6,Fredric Gascard,Female,fgascard6@bbb.org,U101320,608,1,J1b1a1,I M253,6,4Q,78,9,3,Custom Superkit,N/A
7,Afton Prandi,Male,aprandi7@feedburner.com,L217245,737,2,T2b,R1b,2,2Q,69,3,3,Migration - V4 - M,N/A
8,Yehudit Fleisch,Male,yfleisch8@php.net,N162847,654,1,,R1b,7,0Q,97,1,9,Ancestry,N/A
9,Loretta Daybell,Male,ldaybell9@google.es,W209401,774,1,K1a,I M253,6,5Q,40,1,2,Ancestry,N/A
10,Alia Gidman,Female,agidmana@webs.com,O211073,237,1,J1b1a1,R1b,6,4Q,4,1,4,Migration - F2 - T,N/A
11,Mari Canada,Female,mcanadab@ocn.ne.jp,T232482,176,1,T2a1a,T2g,7,2Q,14,5,6,Migration - V4 - M,N/A
12,Ag Kloska,Female,akloskac@mlb.com,K175998,2292,2,H1a1,R1b,5,6Q,19,4,3,Migration - F2 - A,N/A
13,Georgena Abdee,Male,gabdeed@irs.gov,V204097,225,1,H1a1,I M253,9,9Q,69,6,3,Migration - F2 - T,N/A
14,Mikael Kingman,Female,mkingmane@skyrock.com,R139287,2453,2,T2b,R1b,6,9Q,22,5,7,Custom Superkit,N/A
15,Flore Stonehewer,Non-binary,fstonehewerf@bloomberg.com,K295409,947,2,T2a1a,R-M167,0,4Q,88,0,7,Migration - V4 - M,N/A
16,Clemmie Godard,Male,cgodardg@mediafire.com,A138234,743,2,H1a1,R-M167,6,5Q,82,8,4,Migration - V4 - M,N/A
17,Jarib Brogini,Female,jbroginih@narod.ru,Y296747,1425,2,T2b,Z1h,8,7Q,24,1,8,Custom Superkit,N/A
18,Rhys Fourman,Male,rfourmani@godaddy.com,U290176,869,1,T2a1a,I M253,5,2Q,20,8,2,Migration - V4 - M,N/A
19,Beaufort Helleckas,Polygender,bhelleckasj@google.fr,M143775,1173,1,T2b,I M253,3,2Q,71,2,7,23andMe,N/A
20,Leola Shillaber,Male,lshillaberk@webmd.com,U220659,1916,2,J1b1a1,R1b,4,3Q,62,3,0,Migration - F2 - A,N/A
21,Scotti Juorio,Male,sjuoriol@tiny.cc,O259801,1642,2,T2a1a,T2g,5,6Q,5,1,2,23andMe,N/A
22,Constantin Bigland,Female,cbiglandm@reference.com,J158238,669,1,J1b1a1,Z1h,8,6Q,11,3,5,Migration - F2 - A,N/A
23,Kris Sweetman,Male,ksweetmann@goo.ne.jp,Q261847,2032,2,J1c2,R-M167,2,0Q,91,1,5,Migration - V4 - M,N/A
